,user,host,path,referer,code,agent,size,method,time
0,,224.108.28.51,/category/toys,-,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0.1) Gecko/20100101 Firefox/9.0.1,127,GET,1412362794
1,,96.204.127.69,/category/electronics,-,200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.77 Safari/535.7",80,GET,1412362781
2,,176.219.145.188,/item/jewelry/3847,-,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),56,GET,1412362768
3,,88.30.173.66,/category/jewelry,/search/?c=Games+Software,200,Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,84,GET,1412362755
4,,56.117.159.163,/item/office/4429,/search/?c=Office+Books,200,Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,72,GET,1412362741
5,,220.180.229.92,/category/office,/category/cameras,200,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",53,GET,1412362728
6,,168.180.177.180,/search/?c=Jewelry,/category/finance?from=20,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),83,POST,1412362715
7,,76.150.50.172,/item/software/1877,-,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),122,GET,1412362702
8,,132.141.126.103,/item/electronics/1937,-,200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",101,GET,1412362689
9,,20.81.220.95,/category/software,/item/software/1973,200,"Mozilla/5.0 (iPad; CPU OS 5_0_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A405 Safari/7534.48.3",118,GET,1412362676
10,,136.87.214.163,/category/office,/category/books,200,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,130,GET,1412362663
11,,112.96.173.162,/item/garden/4536,/category/finance,200,Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,91,GET,1412362650
12,,192.42.33.60,/category/software,-,200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",105,GET,1412362636
13,,68.42.70.44,/category/giftcards,-,200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.77 Safari/535.7",139,GET,1412362623
14,,116.93.228.92,/category/electronics,/category/office,200,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),71,GET,1412362610
