,user,host,path,referer,code,agent,size,method,time
0,,192.225.229.196,/category/software,-,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0.1) Gecko/20100101 Firefox/9.0.1,117,GET,1412382292
1,,120.168.215.131,/category/software,-,200,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),53,GET,1412382284
2,,180.198.173.136,/category/electronics,/category/computers,200,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",106,GET,1412382275
3,,140.168.145.49,/item/garden/2832,/item/toys/230,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0.1) Gecko/20100101 Firefox/9.0.1,122,GET,1412382267
4,,52.168.78.222,/category/electronics,/item/games/2532,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),73,GET,1412382259
5,,32.42.160.165,/category/cameras,/category/cameras?from=0,200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",117,GET,1412382251
6,,48.204.59.23,/category/software,/search/?c=Electronics,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0.1) Gecko/20100101 Firefox/9.0.1,52,GET,1412382243
7,,136.207.150.227,/category/electronics,-,200,"Mozilla/5.0 (iPad; CPU OS 5_0_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A405 Safari/7534.48.3",120,GET,1412382234
8,,204.21.174.187,/category/jewelry,/item/office/3462,200,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",59,GET,1412382226
9,,224.198.88.93,/category/office,/category/music,200,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; YTB730; GTB7.2; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; Media Center PC 6.0),46,GET,1412382218
10,,96.54.24.116,/category/games,-,200,Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,40,GET,1412382210
11,,184.42.224.210,/category/computers,-,200,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,95,GET,1412382201
12,,144.72.47.212,/item/giftcards/4684,/item/books/1031,200,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,65,GET,1412382193
13,,40.213.111.170,/item/toys/1085,/category/cameras,200,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,65,GET,1412382185
14,,132.54.226.209,/item/electronics/4424,/category/software,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),121,GET,1412382177
15,,108.219.68.64,/category/cameras?from=0,-,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0.1) Gecko/20100101 Firefox/9.0.1,54,GET,1412382168
